returns,dividendyield
-19,0
-13,0
-14,0
-9,0
-19,0
-10,0
-20,0
-11,0
-12,0
-10,0
-13,0
-14,0
-14,0
-12,0
-19,0
-10,0
-11,0
-11,0
-13,0
-11,0
-9,0
-16,0
-9,0
-18,0
-19,0
-19,0.1
-13,0.1
-12,0.1
-8,0.1
-17,0.1
-13,0.1
-9,0.1
-17,0.1
-8,0.1
-20,0.1
-17,0.1
-19,0.1
-11,0.1
-8,0.2
-13,0.2
-17,0.2
-8,0.2
-8,0.2
-20,0.2
-13,0.2
-18,0.2
-16,0.2
-11,0.2
-11,0.2
-10,0.2
-8,0.2
-14,0.2
-20,0.2
-11,0.2
-10,0.2
-20,0.2
-10,0.3
-9,0.3
-10,0.3
-13,0.3
-17,0.3
-10,0.3
-15,0.3
-10,0.3
-13,0.3
-8,0.3
-11,0.3
-9,0.3
-14,0.3
-17,0.3
-16,0.3
-18,0.3
-10,0.3
-12,0.3
-11,0.3
-11,0.4
-17,0.4
-10,0.4
-11,0.4
-8,0.4
-11,0.4
-11,0.4
-17,0.4
-15,0.4
-20,0.4
-16,0.4
-13,0.4
-13,0.4
-17,0.4
-11,0.4
-11,0.4
-19,0.4
-20,0.4
-13,0.4
-17,0.4
-10,0.4
-13,0.4
-13,0.4
-13,0.5
-10,0.5
-16,0.5
-19,0.5
-15,0.5
-13,0.5
-18,0.5
-20,0.5
-9,0.5
-10,0.5
-10,0.5
-19,0.5
-16,0.5
-15,0.5
-12,0.5
-9,0.5
-13,0.5
-20,0.5
-9,0.6
-19,0.6
-18,0.6
-18,0.6
-17,0.6
-16,0.6
-11,0.6
-16,0.6
-17,0.6
-10,0.6
-16,0.6
-19,0.6
-8,0.6
-14,0.6
-18,0.6
-16,0.6
-14,0.6
-16,0.6
-20,0.6
-15,0.7
-20,0.7
-12,0.7
-19,0.7
-13,0.7
-15,0.7
-14,0.7
-11,0.7
-14,0.7
-19,0.7
-14,0.7
-20,0.7
-14,0.7
-16,0.7
-19,0.7
-13,0.7
-19,0.7
-13,0.7
-8,0.7
-20,0.7
-20,0.7
-14,0.7
-15,0.7
-19,0.7
-19,0.7
-19,0.8
-9,0.8
-17,0.8
-15,0.8
-13,0.8
-15,0.8
-12,0.8
-20,0.8
-13,0.8
-13,0.8
-17,0.8
-18,0.8
-19,0.8
-12,0.8
-15,0.8
-10,0.8
-12,0.8
-19,0.8
-20,0.8
-10,0.9
-16,0.9
-11,0.9
-15,0.9
-19,0.9
-10,0.9
-11,0.9
-13,0.9
-12,0.9
-10,0.9
-12,0.9
-10,0.9
-15,0.9
-12,0.9
-15,0.9
-16,0.9
-13,0.9
-15,0.9
-15,0.9
-12,0.9
14,2
10,2
7,2
10,2
14,2
14,2
12,2
7,2
14,2
6,2
10,2
12,2
9,2
8,2
7,2.1
11,2.1
8,2.1
8,2.1
11,2.1
7,2.1
6,2.1
11,2.1
6,2.1
10,2.1
16,2.1
11,2.1
10,2.1
15,2.1
16,2.1
10,2.1
13,2.1
7,2.1
15,2.1
7,2.1
14,2.1
14,2.1
7,2.1
6,2.1
7,2.2
5,2.2
9,2.2
5,2.2
10,2.2
14,2.2
10,2.2
10,2.2
5,2.2
16,2.2
16,2.2
13,2.2
16,2.2
7,2.2
14,2.2
16,2.2
5,2.2
12,2.2
16,2.2
14,2.2
11,2.2
11,2.2
9,2.2
10,2.3
16,2.3
7,2.3
6,2.3
15,2.3
9,2.3
13,2.3
5,2.3
15,2.3
6,2.3
7,2.3
13,2.3
15,2.3
6,2.3
11,2.3
7,2.3
6,2.4
16,2.4
12,2.4
8,2.4
7,2.4
10,2.4
9,2.4
9,2.4
16,2.4
7,2.4
12,2.4
15,2.4
11,2.4
11,2.4
13,2.4
12,2.4
12,2.4
8,2.4
10,2.4
6,2.5
14,2.5
12,2.5
14,2.5
12,2.5
6,2.5
7,2.5
15,2.5
6,2.5
15,2.5
7,2.5
15,2.5
9,2.5
10,2.5
6,2.5
6,2.5
15,2.5
10,2.5
7,2.5
14,2.5
14,2.5
11,2.5
9,2.5
15,2.5
10,2.6
12,2.6
5,2.6
12,2.6
8,2.6
13,2.6
10,2.6
12,2.6
16,2.6
6,2.6
6,2.6
10,2.6
7,2.6
12,2.6
13,2.6
6,2.7
10,2.7
7,2.7
7,2.7
11,2.7
12,2.7
5,2.7
9,2.7
7,2.7
14,2.7
16,2.7
11,2.7
8,2.7
16,2.7
14,2.7
7,2.7
8,2.7
6,2.7
6,2.7
9,2.7
6,2.7
15,2.7
14,2.8
9,2.8
11,2.8
8,2.8
7,2.8
9,2.8
10,2.8
10,2.8
7,2.8
9,2.8
12,2.8
12,2.8
13,2.8
11,2.8
8,2.8
10,2.8
5,2.8
12,2.8
15,2.8
6,2.8
7,2.8
15,2.8
14,2.8
15,2.8
10,2.9
14,2.9
15,2.9
6,2.9
5,2.9
16,2.9
5,2.9
8,2.9
14,2.9
12,2.9
9,2.9
13,2.9
10,2.9
15,2.9
8,2.9
13,2.9
13,2.9
7,2.9
12,2.9
33,4
37,4
33,4
30,4
40,4
36,4
31,4
31,4
39,4
38,4
30,4
33,4
32,4
33,4
33,4
31,4
38,4
32,4.1
29,4.1
40,4.1
30,4.1
37,4.1
35,4.1
35,4.1
36,4.1
35,4.1
33,4.1
28,4.1
36,4.1
35,4.1
30,4.1
32,4.1
33,4.1
29,4.1
40,4.1
39,4.1
37,4.1
34,4.1
31,4.1
31,4.1
32,4.1
29,4.2
32,4.2
32,4.2
31,4.2
33,4.2
33,4.2
33,4.2
36,4.2
36,4.2
29,4.2
32,4.2
30,4.2
31,4.2
31,4.2
28,4.2
32,4.2
32,4.2
35,4.2
28,4.2
39,4.2
36,4.2
39,4.2
32,4.3
37,4.3
35,4.3
39,4.3
38,4.3
38,4.3
30,4.3
33,4.3
38,4.3
40,4.3
30,4.3
34,4.3
35,4.3
40,4.3
40,4.3
36,4.3
38,4.3
40,4.3
31,4.3
36,4.3
28,4.3
34,4.3
35,4.3
32,4.4
37,4.4
35,4.4
38,4.4
31,4.4
30,4.4
37,4.4
28,4.4
29,4.4
38,4.5
37,4.5
37,4.5
31,4.5
31,4.5
40,4.5
40,4.5
38,4.5
29,4.5
37,4.5
32,4.5
32,4.5
40,4.5
36,4.5
33,4.5
38,4.5
37,4.5
40,4.5
33,4.5
28,4.5
32,4.5
37,4.5
29,4.5
37,4.6
39,4.6
29,4.6
37,4.6
39,4.6
31,4.6
31,4.6
30,4.6
36,4.6
35,4.6
40,4.6
34,4.6
31,4.6
28,4.6
34,4.6
29,4.6
28,4.6
33,4.6
37,4.6
37,4.6
30,4.6
31,4.6
32,4.7
34,4.7
34,4.7
32,4.7
30,4.7
33,4.7
35,4.7
32,4.7
31,4.7
35,4.7
40,4.7
40,4.7
32,4.7
30,4.7
29,4.7
33,4.7
31,4.8
31,4.8
37,4.8
40,4.8
34,4.8
40,4.8
31,4.8
35,4.8
38,4.8
40,4.8
29,4.8
29,4.8
31,4.8
33,4.8
36,4.8
28,4.8
30,4.8
36,4.8
28,4.8
36,4.8
34,4.8
39,4.9
37,4.9
31,4.9
33,4.9
29,4.9
30,4.9
32,4.9
29,4.9
32,4.9
39,4.9
